"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"JT:9511","The Okinawa Electric Power Company, Incorporated","9511","02/14/1992","Global Equity","Common stocks","Developed markets ex-US","Utilities","JP3194700005","6658050","65,240,469,504","JPY","Analyze"
"JT:1868","Mitsui Home Co., Ltd","1868","02/04/1993","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","64,747,450,368","JPY","Analyze"
"JT:9058","Trancom Co., Ltd","9058","04/11/1995","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3635650009","6890034","64,467,480,576","JPY","Analyze"
"JT:2157","Koshidaka Holdings Co., Ltd","2157","06/28/2007","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3297360004","B1Y3VL9","64,410,836,992","JPY","Analyze"
"JT:6278","Union Tool Co","6278","06/22/1989","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3950600001","6914053","63,832,973,312","JPY","Analyze"
"JT:9873","KFC Holdings Japan, Ltd","9873","08/21/1990","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3702200001","6490166","62,934,675,456","JPY","Analyze"
"JT:9543","Shizuoka Gas Co., Ltd","9543","12/07/2001","Global Equity","Common stocks","Developed markets ex-US","Utilities","JP3351150002","6419956","62,644,609,024","JPY","Analyze"
"JT:6099","Elan Corp","6099","11/07/2014","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3167680002","BRG9JZ7","62,598,868,992","JPY","Analyze"
"JT:2174","GCA Corporation","2174","03/03/2008","Global Equity","Common stocks","Developed markets ex-US","Unknown","JP3386390003","B2PG341","62,564,671,488","JPY","Analyze"
"JT:8367","The Nanto Bank, Ltd","8367","12/01/1987","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3653400006","6621524","62,114,369,536","JPY","Analyze"
"JT:2211","Fujiya Co., Ltd","2211","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3821200007","6356967","61,423,493,120","JPY","Analyze"
"JT:8363","The Hokkoku Bank, Ltd","8363","01/09/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3851400006","6432362","61,352,103,936","JPY","Analyze"
"JT:2692","ITOCHU-SHOKUHIN Co., Ltd","2692","03/13/2001","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3143700007","6327855","61,215,739,904","JPY","Analyze"
"JT:6287","Sato Holdings Corporation","6287","10/31/1990","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3321400008","6777579","60,893,593,600","JPY","Analyze"
"JT:8818","Keihanshin Building Co., Ltd","8818","03/24/2003","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3279000008","6487209","60,679,036,928","JPY","Analyze"
"JT:8979","Starts Proceed Investment Corporation","8979","07/28/2010","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3046340000","B0NNX17","60,601,946,112","JPY","Analyze"
"JT:9068","Maruzen Showa Unyu Co., Ltd","9068","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3876000005","6569624","60,581,736,448","JPY","Analyze"
"JT:9842","Arcland Sakamoto Co.,Ltd","9842","09/21/1989","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3100100001","6048004","60,390,416,384","JPY","Analyze"
"JT:7447","Nagaileben Co., Ltd","7447","06/13/1995","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3647000003","6623326","60,347,973,632","JPY","Analyze"
"JT:4549","Eiken Chemical Co., Ltd","4549","01/29/1990","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3160700005","6307114","60,159,623,168","JPY","Analyze"
"JT:7913","Tosho Printing Company, Limited","7913","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3626200004","6897369","59,979,661,312","JPY","Analyze"
"JT:9025","Konoike Transport Co., Ltd","9025","03/15/2013","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3288970001","B99HH03","58,948,644,864","JPY","Analyze"
"JT:9729","Tokai Corp","9729","03/19/2010","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3552250007","6894359","58,898,968,576","JPY","Analyze"
"JT:6101","Tsugami Corporation","6101","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3531800005","6906760","58,728,038,400","JPY","Analyze"
