Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
EBIOSS ENERGY SE;XMAD;Bolsa de Madrid;BG1100005179;EBIe;EUR;ES;EQ;56.502;30.000;30. Sep 19;;N
EBRO FOODS SA;XMAD;Bolsa de Madrid;ES0112501012;EBROe;EUR;ES;EQ;11.019.435;300.000;30. Sep 19;;N
ERCROS SA;XMAD;Bolsa de Madrid;ES0125140A14;ECRe;EUR;ES;EQ;3.061.148;200.000;30. Sep 19;;N
EDREAMS ODIGEO SL;XMAD;Bolsa de Madrid;LU1048328220;EDRe;EUR;ES;EQ;2.165.302;200.000;30. Sep 19;;N
EUSKALTEL SA;XMAD;Bolsa de Madrid;ES0105075008;EKTe;EUR;ES;EQ;7.567.277;300.000;30. Sep 19;;N
ENDESA SA;XMAD;Bolsa de Madrid;ES0130670112;ELEe;EUR;ES;EQ;125.484.674;650.000;30. Sep 19;;N
ENCE ENERGIA Y CELULOSA SA;XMAD;Bolsa de Madrid;ES0130625512;ENCe;EUR;ES;EQ;19.317.745;300.000;30. Sep 19;;N
ENAGAS SA;XMAD;Bolsa de Madrid;ES0130960018;ENGe;EUR;ES;EQ;97.279.344;500.000;30. Sep 19;;N
ELECNOR  SA;XMAD;Bolsa de Madrid;ES0129743318;ENOe;EUR;ES;EQ;312.518;60.000;30. Sep 19;;N
EURONA WIRELESS TELECOM SA;XMAD;Bolsa de Madrid;ES0133443004;EWTe;EUR;ES;EQ;50.376;30.000;30. Sep 19;;N
GRUPO EZENTIS SA;XMAD;Bolsa de Madrid;ES0172708234;EZEe;EUR;ES;EQ;1.345.914;200.000;30. Sep 19;;N
FACEPHI BIOMETRIA SA;XMAD;Bolsa de Madrid;ES0105029005;FACEe;EUR;ES;EQ;17.232;15.000;30. Sep 19;;N
FAES FARMA SA;XMAD;Bolsa de Madrid;ES0134950F36;FAEe;EUR;ES;EQ;2.218.920;200.000;30. Sep 19;;N
FOMENTO DE CONSTRUC Y CONTRA;XMAD;Bolsa de Madrid;ES0122060314;FCCe;EUR;ES;EQ;1.908.941;200.000;30. Sep 19;;N
FLUIDRA SA;XMAD;Bolsa de Madrid;ES0137650018;FDRe;EUR;ES;EQ;4.231.549;200.000;30. Sep 19;;N
FERROVIAL SA;XMAD;Bolsa de Madrid;ES0118900010;FERe;EUR;ES;EQ;93.955.380;500.000;30. Sep 19;;N
GENERAL DE ALQUILER DE MAQUI;XMAD;Bolsa de Madrid;ES0141571192;GALQe;EUR;ES;EQ;95.451;30.000;30. Sep 19;;N
GRUPO CATALANA OCCIDENTE SA;XMAD;Bolsa de Madrid;ES0116920333;GCOe;EUR;ES;EQ;3.008.337;200.000;30. Sep 19;;N
GESTAMP AUTOMOCION SA;XMAD;Bolsa de Madrid;ES0105223004;GESTe;EUR;ES;EQ;9.937.640;300.000;30. Sep 19;;N
GIGAS HOSTING SA;XMAD;Bolsa de Madrid;ES0105093001;GIGAe;EUR;ES;EQ;38.103;15.000;30. Sep 19;;N
GRIFOLS SA;XMAD;Bolsa de Madrid;ES0171996087;GRFe;EUR;ES;EQ;78.642.860;500.000;30. Sep 19;;N
GRIFOLS SA - B;XMAD;Bolsa de Madrid;ES0171996095;GRFPe;EUR;ES;EQ;7.924.742;300.000;30. Sep 19;;N
GREENALIA SA;XMAD;Bolsa de Madrid;ES0105293007;GRNe;EUR;ES;EQ;22.968;15.000;30. Sep 19;;N
GRUPO EMPRESARIAL SAN JOSE;XMAD;Bolsa de Madrid;ES0180918015;GSJe;EUR;ES;EQ;644.590;100.000;30. Sep 19;;N
NEINOR HOMES SA;XMAD;Bolsa de Madrid;ES0105251005;HOMEe;EUR;ES;EQ;15.623.606;300.000;30. Sep 19;;N
INTL CONSOLIDATED AIRLINE-DI;XMAD;Bolsa de Madrid;ES0177542018;IAGe;EUR;ES;EQ;466.113.168;650.000;30. Sep 19;;N
IBERDROLA SA;XMAD;Bolsa de Madrid;ES0144580Y14;IBEe;EUR;ES;EQ;386.912.937;650.000;30. Sep 19;;N
LYX  IBEX35 DAILY LEV ETF;XMAD;Bolsa de Madrid;FR0011042753;IBEXAe;EUR;ES;TF;5.569.753;1.000.000;30. Sep 19;;N
IBERPAPEL GESTION SA;XMAD;Bolsa de Madrid;ES0147561015;IBGe;EUR;ES;EQ;160.970;60.000;30. Sep 19;;N
INDRA SISTEMAS SA;XMAD;Bolsa de Madrid;ES0118594417;IDRe;EUR;ES;EQ;17.245.802;300.000;30. Sep 19;;N
1NKEMIA IUCT GROUP SA;XMAD;Bolsa de Madrid;ES0156303002;IKMe;EUR;ES;EQ;9.764;15.000;30. Sep 19;;N
INMOBILIARIA DEL SUR SA;XMAD;Bolsa de Madrid;ES0154653911;ISURe;EUR;ES;EQ;74.381;30.000;30. Sep 19;;N
INDUSTRIA DE DISENO TEXTIL;XMAD;Bolsa de Madrid;ES0148396007;ITXe;EUR;ES;EQ;426.411.576;650.000;30. Sep 19;;N
LIBERBANK SA;XMAD;Bolsa de Madrid;ES0168675090;LBKe;EUR;ES;EQ;5.805.411;300.000;30. Sep 19;;N
LINGOTES ESPECIALES S.A.;XMAD;Bolsa de Madrid;ES0158480311;LGTe;EUR;ES;EQ;171.593;60.000;30. Sep 19;;N
CIA DE DISTRIBUCION INTEGRAL;XMAD;Bolsa de Madrid;ES0105027009;LOGe;EUR;ES;EQ;15.641.659;300.000;30. Sep 19;;N
LAR ESPANA REAL ESTATE SOCIM;XMAD;Bolsa de Madrid;ES0105015012;LREe;EUR;ES;EQ;3.584.020;200.000;30. Sep 19;;N
LYX  IBEX35 DR ETF;XMAD;Bolsa de Madrid;FR0010251744;LYXIBe;EUR;ES;TF;19.301.290;1.000.000;30. Sep 19;;N
MAPFRE SA;XMAD;Bolsa de Madrid;ES0124244E34;MAPe;EUR;ES;EQ;37.877.866;400.000;30. Sep 19;;N
MASMOVIL IBERCOM SA;XMAD;Bolsa de Madrid;ES0184696104;MASe;EUR;ES;EQ;10.255.027;300.000;30. Sep 19;;N
MIQUEL Y COSTAS;XMAD;Bolsa de Madrid;ES0164180012;MCMe;EUR;ES;EQ;906.467;100.000;30. Sep 19;;N
DURO FELGUERA SA;XMAD;Bolsa de Madrid;ES0162600003;MDFe;EUR;ES;EQ;82.371;30.000;17. Jul 19;;N
MELIA HOTELS INTERNATIONAL;XMAD;Bolsa de Madrid;ES0176252718;MELe;EUR;ES;EQ;20.304.360;300.000;30. Sep 19;;N
MERLIN PROPERTIES SOCIMI SA;XMAD;Bolsa de Madrid;ES0105025003;MRLe;EUR;ES;EQ;44.248.009;400.000;30. Sep 19;;N
MONTEBALITO SA;XMAD;Bolsa de Madrid;ES0116494016;MTBe;EUR;ES;EQ;40.828;15.000;30. Sep 19;;N
ARCELORMITTAL;XMAD;Bolsa de Madrid;LU1598757687;MTSe;EUR;ES;EQ;360.932.683;650.000;30. Sep 19;;N
METROVACESA SA;XMAD;Bolsa de Madrid;ES0105122024;MVCe;EUR;ES;EQ;8.889.043;300.000;30. Sep 19;;N
NICOLAS CORREA SA;XMAD;Bolsa de Madrid;ES0166300212;NEAe;EUR;ES;EQ;148.456;60.000;30. Sep 19;;N
NH HOTEL GROUP SA;XMAD;Bolsa de Madrid;ES0161560018;NHHe;EUR;ES;EQ;26.200.249;400.000;30. Sep 19;;N
NATURGY ENERGY GROUP SA;XMAD;Bolsa de Madrid;ES0116870314;NTGYe;EUR;ES;EQ;115.785.707;650.000;30. Sep 19;;N
NATURHOUSE HEALTH SAU;XMAD;Bolsa de Madrid;ES0105043006;NTHe;EUR;ES;EQ;240.127;60.000;30. Sep 19;;N
NUEVA EXPRESION TEXTIL SA;XMAD;Bolsa de Madrid;ES0126962069;NXTe;EUR;ES;EQ;67.004;30.000;30. Sep 19;;N
OBRASCON HUARTE LAIN S.A.;XMAD;Bolsa de Madrid;ES0142090317;OHLe;EUR;ES;EQ;14.812.463;300.000;30. Sep 19;;N
DEOLEO SA;XMAD;Bolsa de Madrid;ES0110047919;OLEe;EUR;ES;EQ;102.847;60.000;30. Sep 19;;N
ORYZON GENOMICS;XMAD;Bolsa de Madrid;ES0167733015;ORYe;EUR;ES;EQ;1.390.612;200.000;30. Sep 19;;N
PHARMA MAR SA;XMAD;Bolsa de Madrid;ES0169501030;PHMe;EUR;ES;EQ;2.124.513;200.000;30. Sep 19;;N
PARQUES REUNIDOS SERVICIOS C;XMAD;Bolsa de Madrid;ES0105131009;PQRe;EUR;ES;EQ;2.109.840;200.000;30. Sep 19;;N
PRIM SA;XMAD;Bolsa de Madrid;ES0170884417;PRMe;EUR;ES;EQ;94.399;30.000;30. Sep 19;;N
PROMOTORA DE INFORMACIONES-A;XMAD;Bolsa de Madrid;ES0171743901;PRSe;EUR;ES;EQ;2.050.427;200.000;30. Sep 19;;N
PROSEGUR COMP SEGURIDAD;XMAD;Bolsa de Madrid;ES0175438003;PSGe;EUR;ES;EQ;8.854.977;300.000;30. Sep 19;;N
