Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
HURRICANE ENERGY PLC;AIMX;London Stock Exchange - AIM;GB00B580MF54;HURl;GBX;GB;EQ;5.753.578;26.835.900;30. Sep 19;;N
HORIZON DISCOVERY GROUP PLC;AIMX;London Stock Exchange - AIM;GB00BK8FL363;HZDl;GBX;GB;EQ;828.085;8.945.300;30. Sep 19;;N
IDOX PLC;AIMX;London Stock Exchange - AIM;GB0002998192;IDOXl;GBX;GB;EQ;2.639.245;17.890.600;30. Sep 19;;N
IGAS ENERGY PLC;AIMX;London Stock Exchange - AIM;GB00BZ042C28;IGASl;GBX;GB;EQ;290.552;5.367.180;30. Sep 19;;N
IMMUPHARMA PLC;AIMX;London Stock Exchange - AIM;GB0033711010;IMMl;GBX;GB;EQ;1.598.330;17.890.600;30. Sep 19;;N
IOFINA PLC;AIMX;London Stock Exchange - AIM;GB00B2QL5C79;IOFl;GBX;GB;EQ;83.976;2.683.590;30. Sep 19;;N
IOMART GROUP PLC;AIMX;London Stock Exchange - AIM;GB0004281639;IOMl;GBX;GB;EQ;867.784;8.945.300;30. Sep 19;;N
IMPAX ASSET MANAGEMENT GROUP;AIMX;London Stock Exchange - AIM;GB0004905260;IPXl;GBX;GB;EQ;488.926;5.367.180;30. Sep 19;;N
IQE PLC;AIMX;London Stock Exchange - AIM;GB0009619924;IQEl;GBX;GB;EQ;15.147.514;26.835.900;30. Sep 19;;N
ITM POWER PLC;AIMX;London Stock Exchange - AIM;GB00B0130H42;ITMl;GBX;GB;EQ;187.545;5.367.180;30. Sep 19;;N
BLUEJAY MINING PLC;AIMX;London Stock Exchange - AIM;GB00BFD3VF20;JAYl;GBX;GB;EQ;10.229.007;26.835.900;30. Sep 19;;N
JAMES HALSTEAD PLC;AIMX;London Stock Exchange - AIM;GB00B0LS8535;JHDl;GBX;GB;EQ;529.880;8.945.300;30. Sep 19;;N
JOHNSON SERVICE GROUP PLC;AIMX;London Stock Exchange - AIM;GB0004762810;JSGl;GBX;GB;EQ;1.170.876;17.890.600;30. Sep 19;;N
STRIX GROUP PLC;AIMX;London Stock Exchange - AIM;IM00BF0FMG91;KETLl;GBX;GB;EQ;1.495.920;17.890.600;30. Sep 19;;N
KNIGHTS GROUP HOLDINGS PLC;AIMX;London Stock Exchange - AIM;GB00BFYF6298;KGHl;GBX;GB;EQ;869.063;8.945.300;30. Sep 19;;N
KEYWORDS STUDIOS PLC;AIMX;London Stock Exchange - AIM;GB00BBQ38507;KWSl;GBX;GB;EQ;8.294.251;26.835.900;30. Sep 19;;N
LEKOIL LTD  - DI;AIMX;London Stock Exchange - AIM;KYG5462G1073;LEKl;GBX;GB;EQ;261.402;5.367.180;30. Sep 19;;N
LEARNING TECHNOLOGIES GROUP;AIMX;London Stock Exchange - AIM;GB00B4T7HX10;LTGl;GBX;GB;EQ;5.494.699;26.835.900;30. Sep 19;;N
MORTGAGE ADVICE BUREAU HOLDI;AIMX;London Stock Exchange - AIM;GB00BQSBH502;MAB1l;GBX;GB;EQ;517.335;8.945.300;30. Sep 19;;N
MORSES CLUB PLC;AIMX;London Stock Exchange - AIM;GB00BZ6C4F71;MCLl;GBX;GB;EQ;414.390;5.367.180;30. Sep 19;;N
